Division,Cve Especialidad,Descripcion
Pediatría Médica,1000,Alergia e Inmunología
Pediatría Médica,1400,Cardiología
Cirugía Pediátrica,1500,Cirugía Cardiotorácica
Ginecología,2100,Ginecología
Ginecología,2101,Biología de la Reproducción Humana
Ginecología,2103,Urología Ginecológica
Obstetricia,2104,Ginecología endócrina
Ginecología,2105,Clínica de Displasia
Ginecología,2106,Clínica de Mama
Obstetricia,2400,Obstetricia
Obstetricia,2401,Medicina Materno Fetal
Obstetricia,2500,Medicina Interna
Cirugía Pediátrica,3000,Oftalmología
Pediatría Médica,3200,Pediatría
Pediatría Médica,3201,Cardiología Pediátrica
Pediatría Médica,3202,Endocrinología Pediátrica
Pediatría Médica,3203,Gastroenterología Pediátrica
Pediatría Médica,3204,Hematología Pediátrica
Pediatría Médica,3205,Infectología Pediátrica
Pediatría Médica,3206,Neumología Pediátrica
Pediatría Médica,3207,Neurología Pediátrica
Pediatría Médica,3208,Oncología Pediátrica
Pediatría Médica,3209,Reumatología Pediátrica
Pediatría Médica,3500,Psiquiatría
Cirugía Pediátrica,3800,Traumatología y ortopedia
Cirugía Pediátrica,3801,Traumatología
Cirugía Pediátrica,4100,Urología
Cirugía Pediátrica,4400,Cirugía Pediátrica
Pediatría Médica,4401,Nefrología Pediátrica
Cirugía Pediátrica,4402,Neurocirugía Pediátrica
Cirugía Pediátrica,4600,Cirugía Plástica y Reconstructiva
,5001,Consultas en Primer Contacto
Ginecología,5100,Cirugía oncológica
Ginecología,5103,Ginecología Oncológica
Pediatría Médica,6500,Genética Médica
Pediatría Médica,6800,Medicina Física y Rehabilitación
Anestesiología,8800,Anestesiología
Anestesiología,8802,Clínica del Dolor
,A600,Urgencias Tococirugía
,Total,Total
,Total,Total
